[AI]: Session started
Move:Player:(60,1)->(60,2)
Turn:1
Level:1 Depth:50ft
Player:(60,2) HP:4/4
Monster:Yellow Mushroom Patch:(56,7) HP:3
Monster:White Icky Thing:(59,3) HP:9
Monster:Red Icky Thing:(59,2) HP:10
Monster:Green Jelly:(36,17) HP:7
Monster:Yellow Mushroom Patch:(38,17) HP:3
Item:Pickaxe:(52,18)
Item:Brass Lantern:(83,22)
Item:Holly Wand:(68,19)
Item:Silver Potion:(93,9)
Item:Pair of Steel Boots:(96,7)
Item:Leather Armor:(41,24)
Item:Scroll labeled comm sequat:(98,10)
Item:Scroll labeled comm sequat:(58,23)
Item:Long Bow:(64,1)
Item:Pair of Leather Boots:(54,20)
Item:Brass Lantern:(71,9)
